"date","month","day","hour","year","temp_c","wind_kph","wind_dir","pressure_mpa","humidity","direction","company_name","product_name","size","blades","pitch","config","average_chord","average_pitch","voltage","Motor_used","ESC_signal_s","Torque_Nm","Thrust_gf","Motor_Optical_Speed_RPM","Motor_Efficiency_","Propeller_Mech_Efficiency_gfW","Overall_Efficiency_gfW","Voltage_V","Current_A","Electrical_Power_W","Mechanical_Power_W","Vibration_g"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T2","0","0","24","4006","1000","-0.0010279491543769","4.835727021740048","6.055425176401644e-26","1.006028840981755e-27","1019.7162129779284","7.463238754737695","24.19080352783203","0.0267845392227172","0.6479395031929016","6.51845810310635e-30","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T2","0","0","24","4006","1200","0.0056214989162981","24.907580437409106","771.8260929923725","26.243600249290463","54.81902995767464","14.386486772652558","24.19095802307129","0.0715687945485115","1.7313177585601809","0.4543601274490356","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T2","0","0","24","4006","1250","0.0157213546335697","62.85657193836232","1234.880133811221","51.9366979598999","30.91770810803242","16.057637113284766","24.19128036499023","0.1618117988109588","3.9144346714019775","2.0330281257629395","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T2","0","0","24","4006","1300","0.0302890539169311","124.36469488745936","1709.3978184223167","62.09099888801575","22.93715936704013","14.241911328019476","24.1915340423584","0.3609652817249298","8.732303619384766","5.4219746589660645","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T2","0","0","24","4006","1350","0.0457295030355453","195.1188389529373","2087.411596325762","72.87132740020752","19.51938078251803","14.224031423692514","24.191713333129883","0.5670350193977356","13.717548370361328","9.996159553527832","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T2","0","0","24","4006","1400","0.0674913227558136","288.0530354856712","2533.1132410298696","78.74802947044373","16.089452311448948","12.670127640188284","24.192115783691406","0.9397614002227784","22.73481750488281","17.903221130371094","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T2","0","0","24","4006","1450","0.0879228860139846","377.4867761606328","2903.496732297008","80.08859753608704","14.120491476319051","11.30890349195052","24.192413330078125","1.3797552585601809","33.379608154296875","26.733259201049805","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T2","0","0","24","4006","1500","0.107753999531269","461.5551172116735","3212.303463617678","80.12592196464539","12.733417669509832","10.202768460620174","24.192699432373047","1.8699121475219729","45.238224029541016","36.24754333496094","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T2","0","0","24","4006","1550","0.1311861425638198","568.208827055269","3567.4065649566905","82.16071128845215","11.594146998368316","9.5258331858975","24.192852020263672","2.465573310852051","59.64925003051758","49.00824737548828","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T2","0","0","24","4006","1575","0.1434976160526275","618.5823174588979","3747.389298693966","81.54284358024597","10.984882458684414","8.95738533611169","24.193363189697266","2.854434013366699","69.05835723876953","56.31214904785156","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T2","0","0","24","4006","1600","0.1590465307235717","682.7626982464247","3922.67781644615","82.39358067512512","10.450434081939138","8.610486777601533","24.19373321533203","3.2774734497070312","79.29431915283203","65.33342742919922","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T2","0","0","24","4006","1625","0.1761374473571777","750.7431307935118","4093.552174183052","82.40470886230469","9.942845828316807","8.193373088727073","24.19405937194824","3.7872142791748047","91.62808990478516","75.505859375","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T2","0","0","24","4006","1650","0.1880257725715637","805.4092812632842","4267.875212821838","82.54556655883789","9.584267667137391","7.9113881405509","24.194561004638672","4.207713603973389","101.80378723144533","84.03451538085938","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T2","0","0","24","4006","1675","0.2001876235008239","863.1974724150334","4418.457898157333","81.84682726860046","9.319092138661825","7.627381503523956","24.19489860534668","4.677468776702881","113.17088317871094","92.62677764892578","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T3","0","0","24","4006","1000","-0.0022414831910282","6.646028967581942","0","0.0","-inf","37.11778791938095","24.198843002319336","0.0073992130346596","0.179052397608757","0.0","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T3","0","0","24","4006","1200","0.0052412981167435","28.27154608645577","770.833220266944","28.677403926849365","66.82233380638523","19.16291016168888","24.19913673400879","0.060966070741415","1.4753262996673584","0.4230852723121643","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T3","0","0","24","4006","1250","0.0158027540892362","67.45440141603045","1231.9389632854245","54.18708920478821","33.087173980594486","17.928977955766943","24.199398040771484","0.1554712951183319","3.7623116970062256","2.038687229156494","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T3","0","0","24","4006","1300","0.0310266055166721","130.19013698898974","1703.6170377302224","69.03551816940308","23.52032049239303","16.237375204814274","24.199445724487305","0.3313270211219787","8.017930030822754","5.535219669342041","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T3","0","0","24","4006","1350","0.0475670136511325","201.6794737891968","2072.559887283784","73.84142279624939","19.53530053756465","14.425144259351145","24.19964027404785","0.5777402520179749","13.98110580444336","10.323847770690918","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T3","0","0","24","4006","1400","0.0682361274957656","295.4823477031555","2498.491503900695","80.08682131767273","16.55048246117646","13.25475583851031","24.19976234436035","0.9211889505386353","22.292552947998047","17.853397369384766","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T3","0","0","24","4006","1450","0.0900000259280204","395.93323352640994","2888.0452780043893","80.59409856796265","14.54610522339059","11.723302601996044","24.200115203857425","1.39557945728302","33.7731819152832","27.21919250488281","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T3","0","0","24","4006","1500","0.1095980554819107","480.9080448523969","3196.7873137732413","80.6047260761261","13.107408833964556","10.565190185834185","24.20025634765625","1.8808958530426023","45.51816177368164","36.689788818359375","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T3","0","0","24","4006","1550","0.1340403258800506","588.6172814079963","3526.46710319747","81.18607997894287","11.891292713555812","9.654074812942184","24.200340270996097","2.5194218158721924","60.97086334228516","49.49985504150391","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T3","0","0","24","4006","1575","0.1493447721004486","646.9026028851338","3716.126776095468","82.06084966659546","11.130886229149684","9.134099631464547","24.200607299804688","2.926488876342773","70.82280731201172","58.1177978515625","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T3","0","0","24","4006","1600","0.1629140228033065","705.3489665803547","3886.065088280836","81.63108229637146","10.639148593525716","8.684851650357011","24.20096015930176","3.3559000492095947","81.21600341796875","66.29750061035156","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T3","0","0","24","4006","1625","0.1774865537881851","771.7502907112338","4078.519201027421","81.68504238128662","10.180760086839966","8.31615820719369","24.20125961303711","3.834564924240112","92.80130004882812","75.80477905273438","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T3","0","0","24","4006","1650","0.1910500228404998","832.0387206473594","4242.147365539261","81.11934065818787","9.803520240864795","7.952551275438077","24.201393127441406","4.323113918304443","104.62538146972656","84.87142181396484","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T3","0","0","24","4006","1675","0.2061158716678619","894.7539673421046","4380.57719546066","81.10678791999817","9.463074220276324","7.6751954705042","24.20176887512207","4.816894054412842","116.57735443115234","94.5521469116211","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T4new","0","0","24","4006","1000","-0.0054284604266285","0.7153726245011142","0","0.0","-inf","3.745494651131205","24.1874942779541","-0.0078964568674564","0.1909954994916916","0.0","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T4new","0","0","24","4006","1200","0.00280557340011","21.79851016958517","783.6141616632764","21.518902480602264","94.68349453033348","20.374849188786257","24.187715530395508","0.0442321002483367","1.0698734521865845","0.2302250266075134","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T4new","0","0","24","4006","1250","0.0118204727768898","57.02779302456864","1246.402207595088","45.45930624008179","36.96280241062413","16.803034780236185","24.187931060791016","0.1403137147426605","3.3938984870910645","1.5428427457809448","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T4new","0","0","24","4006","1300","0.0252494495362043","115.20075084357993","1727.635844185598","63.90836238861084","25.218692596092925","16.116853374993447","24.18822860717773","0.2955091893672943","7.147843837738037","4.568069934844971","0.0"
"14","3","Tuesday","03:10:20","2023","30.0","22.0","WSW","0.1015","40","CW","3DP","SG6043","16","2","-1.0","T4new","0","0","24","4006","1350","0.0388579256832599","172.0580625436081","2111.986289110388","68.92071962356567","20.02053473216547","13.798297636471249","24.188480377197266","0.5155145525932312","12.46951389312744","8.59407901763916","0.0"
